number,title,category,phase,priority,labels,dependencies,scope,description,deliverables,acceptance_criteria,status,closed_at,closed_by,closure_evidence,closure_validation
164,Implement EDXRD calibration workflow,EDXRD,EDXRD,P2,edxrd;edxrd;p2;codex-ready;implementation,#1;#31;#81,"Deliver a granular, testable increment for EDXRD: Implement EDXRD calibration workflow.","Implement or specify `Implement EDXRD calibration workflow` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement EDXRD calibration workflow | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement EDXRD calibration workflow` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,docs/edxrd_guide.md | src/rietveld_next/edxrd/calibration.py | src/rietveld_next/edxrd/tests/test_calibration_import.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
165,Implement EDXRD residual diagnostics,EDXRD,EDXRD,P2,edxrd;edxrd;p2;codex-ready;implementation,#1;#31;#81,"Deliver a granular, testable increment for EDXRD: Implement EDXRD residual diagnostics.","Implement or specify `Implement EDXRD residual diagnostics` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement EDXRD residual diagnostics | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement EDXRD residual diagnostics` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex M28 EDXRD high-pressure agent,src/rietveld_next/edxrd/diagnostics.py | src/rietveld_next/edxrd/tests/test_diagnostics.py | docs/edxrd_guide.md | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next/edxrd -p 'test_*.py'
166,Implement EDXRD import template,EDXRD,EDXRD,P2,edxrd;edxrd;p2;codex-ready;implementation,#1;#31;#81,"Deliver a granular, testable increment for EDXRD: Implement EDXRD import template.","Implement or specify `Implement EDXRD import template` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement EDXRD import template | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement EDXRD import template` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex non-blocking batch execution,docs/edxrd_guide.md | src/rietveld_next/edxrd/import_template.py | src/rietveld_next/edxrd/tests/test_calibration_import.py,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next -p 'test_*.py'
167,Implement EDXRD documentation example,EDXRD,EDXRD,P2,edxrd;edxrd;p2;codex-ready;implementation,#1;#31;#81,"Deliver a granular, testable increment for EDXRD: Implement EDXRD documentation example.","Implement or specify `Implement EDXRD documentation example` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement EDXRD documentation example | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement EDXRD documentation example` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Scientific/numerical behavior is validated against a synthetic fixture, analytical expectation, or documented reference tolerance. | Units, parameter bounds, and invalid-input behavior are explicitly handled.",closed,2026-06-12,Codex M28 EDXRD high-pressure agent,docs/edxrd_guide.md | src/rietveld_next/edxrd/synthetic_benchmark.py | src/rietveld_next/edxrd/tests/test_synthetic_benchmark.py | docs/ground_truths.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -m unittest discover -s src/rietveld_next/edxrd -p 'test_*.py'
168,Implement sequential runner,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement sequential runner.","Implement or specify `Implement sequential runner` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement sequential runner | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement sequential runner` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
169,Implement sequential result table,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement sequential result table.","Implement or specify `Implement sequential result table` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement sequential result table | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement sequential result table` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
170,Implement previous-point initialization,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement previous-point initialization.","Implement or specify `Implement previous-point initialization` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement previous-point initialization | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement previous-point initialization` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
171,Implement failed-point retry policy,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement failed-point retry policy.","Implement or specify `Implement failed-point retry policy` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement failed-point retry policy | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement failed-point retry policy` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
172,Implement parameter evolution export,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement parameter evolution export.","Implement or specify `Implement parameter evolution export` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement parameter evolution export | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement parameter evolution export` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
173,Implement parametric model expression API,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement parametric model expression API.","Implement or specify `Implement parametric model expression API` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement parametric model expression API | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement parametric model expression API` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
174,Implement temperature-dependent parameter model,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement temperature-dependent parameter model.","Implement or specify `Implement temperature-dependent parameter model` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement temperature-dependent parameter model | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement temperature-dependent parameter model` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
175,Implement pressure-dependent parameter model,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement pressure-dependent parameter model.","Implement or specify `Implement pressure-dependent parameter model` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement pressure-dependent parameter model | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement pressure-dependent parameter model` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
176,Implement sequential dashboard data API,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement sequential dashboard data API.","Implement or specify `Implement sequential dashboard data API` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement sequential dashboard data API | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement sequential dashboard data API` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
177,Implement residual heatmap data export,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement residual heatmap data export.","Implement or specify `Implement residual heatmap data export` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement residual heatmap data export | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement residual heatmap data export` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
178,Implement batch recipe format,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement batch recipe format.","Implement or specify `Implement batch recipe format` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement batch recipe format | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement batch recipe format` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
179,Implement workflow replay command,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement workflow replay command.","Implement or specify `Implement workflow replay command` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement workflow replay command | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement workflow replay command` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
180,Implement workflow checkpointing,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement workflow checkpointing.","Implement or specify `Implement workflow checkpointing` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement workflow checkpointing | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement workflow checkpointing` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
181,Implement workflow comparison report,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement workflow comparison report.","Implement or specify `Implement workflow comparison report` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement workflow comparison report | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement workflow comparison report` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
182,Implement high-throughput result summary,Sequential and Parametric Workflows,Workflows,P1,sequential-and-parametric-workflows;workflows;p1;codex-ready;implementation,#1;#101;#121,"Deliver a granular, testable increment for Sequential and Parametric Workflows: Implement high-throughput result summary.","Implement or specify `Implement high-throughput result summary` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement high-throughput result summary | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement high-throughput result summary` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/workflows/ | src/rietveld_next/workflows/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
183,Define AI tool contract schema,AI and Agents,AI,P2,ai-and-agents;ai;p2;codex-ready;design,#1;#136;#181,"Deliver a granular, testable increment for AI and Agents: Define AI tool contract schema.","Implement or specify `Define AI tool contract schema` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Define AI tool contract schema | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Define AI tool contract schema` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Agent-facing behavior is tool-grounded, logged, and replayable without relying on hidden LLM state. | Unsafe or unsupported automated actions fail closed with a clear diagnostic.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/ai/ | src/rietveld_next/ai/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
184,Implement run_refinement tool wrapper,AI and Agents,AI,P2,ai-and-agents;ai;p2;codex-ready;implementation,#1;#136;#181,"Deliver a granular, testable increment for AI and Agents: Implement run_refinement tool wrapper.","Implement or specify `Implement run_refinement tool wrapper` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement run_refinement tool wrapper | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement run_refinement tool wrapper` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Agent-facing behavior is tool-grounded, logged, and replayable without relying on hidden LLM state. | Unsafe or unsupported automated actions fail closed with a clear diagnostic.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/ai/ | src/rietveld_next/ai/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
185,Implement diagnose_residuals tool wrapper,AI and Agents,AI,P2,ai-and-agents;ai;p2;codex-ready;implementation,#1;#136;#181,"Deliver a granular, testable increment for AI and Agents: Implement diagnose_residuals tool wrapper.","Implement or specify `Implement diagnose_residuals tool wrapper` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement diagnose_residuals tool wrapper | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement diagnose_residuals tool wrapper` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Agent-facing behavior is tool-grounded, logged, and replayable without relying on hidden LLM state. | Unsafe or unsupported automated actions fail closed with a clear diagnostic.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/ai/ | src/rietveld_next/ai/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
186,Implement set_refinement_flags tool wrapper,AI and Agents,AI,P2,ai-and-agents;ai;p2;codex-ready;implementation,#1;#136;#181,"Deliver a granular, testable increment for AI and Agents: Implement set_refinement_flags tool wrapper.","Implement or specify `Implement set_refinement_flags tool wrapper` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement set_refinement_flags tool wrapper | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement set_refinement_flags tool wrapper` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Agent-facing behavior is tool-grounded, logged, and replayable without relying on hidden LLM state. | Unsafe or unsupported automated actions fail closed with a clear diagnostic.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/ai/ | src/rietveld_next/ai/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
187,Implement rollback tool wrapper,AI and Agents,AI,P2,ai-and-agents;ai;p2;codex-ready;implementation,#1;#136;#181,"Deliver a granular, testable increment for AI and Agents: Implement rollback tool wrapper.","Implement or specify `Implement rollback tool wrapper` as part of the next-generation Rietveld platform. Keep the change small, reviewable, and aligned with the `src/`-first repository layout.","Source, schema, test, or documentation artifact for Implement rollback tool wrapper | Minimal developer-facing usage note | Relevant test or validation fixture","Implementation or document for `Implement rollback tool wrapper` is placed under the approved `src/` layout or docs location; no forbidden top-level source directories are created. | Public APIs, schemas, or commands introduced by the issue include minimal usage documentation. | Automated tests or validation checks cover the primary success path and at least one failure or edge case. | The change preserves deterministic behavior where randomness, ordering, or generated IDs are involved. | CI-relevant commands complete without requiring large benchmarks, GPU hardware, or facility-only resources. | Agent-facing behavior is tool-grounded, logged, and replayable without relying on hidden LLM state. | Unsafe or unsupported automated actions fail closed with a clear diagnostic.",closed,2026-06-11,Batch E subagent execution,src/rietveld_next/ai/ | src/rietveld_next/ai/tests/ | docs/batch_e_completion_report.md,PYTHONDONTWRITEBYTECODE=1 PYTHONPATH=src python3 -B -m unittest discover -s src/rietveld_next -p test*.py
